input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
0,0,0,0,1
10,0.0015,54,0,3
20,0.0025,211,0.001,5
30,0.004,461,0.0005,6
40,0.007,789,0.0005,6
50,0.008,1252,0.0015,7
60,0.0095,1730,0.002,8
70,0.0155,2478,0.004,8
80,0.0185,3162,0.0035,9
90,0.022,3961,0.005,9
100,0.029,4750,0.0025,9
110,0.036,5945,0.0025,10
120,0.0415,7203,0.004,10
130,0.0495,8306,0.003,11
140,0.0535,9345,0.006,11
150,0.069,11088,0.004,11
160,0.0645,12003,0.0065,11
170,0.077,13556,0.008,11
180,0.085,15416,0.004,12
190,0.0935,16774,0.006,12
200,0.1055,18736,0.005,12
210,0.116,21121,0.0095,12
220,0.129,22938,0.0055,12
230,0.132,24472,0.0105,13
240,0.1735,26634,0.009,13
250,0.1525,27919,0.008,13
260,0.1655,30545,0.008,14
270,0.1805,33565,0.0085,13
280,0.208,36626,0.011,13
290,0.237,39223,0.009,13
300,0.2165,40422,0.0095,14
310,0.2245,43241,0.0145,14
320,0.251,47541,0.0135,14
330,0.2835,49109,0.0135,14
340,0.2755,51362,0.0125,14
350,0.289,54230,0.0155,14
360,0.3195,58993,0.0135,14
370,0.346,60989,0.016,15
380,0.3465,65153,0.0165,15
390,0.4005,67608,0.014,15
400,0.3875,70280,0.0185,15
410,0.3955,74500,0.0125,16
420,0.4155,77838,0.014,15
430,0.4245,80658,0.019,16
440,0.47,83111,0.014,16
450,0.4575,85294,0.0205,16
460,0.486,89782,0.012,15
470,0.5355,98165,0.017,15
480,0.547,99258,0.0155,16
490,0.547,100952,0.02,16
500,0.566,104703,0.0225,17
510,0.6815,112390,0.0225,16
520,0.635,116904,0.025,16
530,0.6445,118178,0.0225,17
540,0.673,125730,0.025,17
550,0.7165,123776,0.03,17
560,0.779,135797,0.0145,16
570,0.7685,135740,0.022,16
580,0.7975,140686,0.0265,16
590,0.8685,145215,0.0245,17
600,0.8815,150697,0.023,17
610,0.846,150629,0.0155,17
620,0.893,158833,0.026,17
630,0.925,162402,0.0265,17
640,0.9525,166713,0.0225,17
650,0.9865,174661,0.0255,16
660,1.006,177174,0.0245,17
670,1.0005,180619,0.0355,18
680,1.027,180830,0.032,18
690,1.0845,188693,0.0305,18
700,1.086,190475,0.0335,18
710,1.405,203903,0.0345,17
720,1.2225,203091,0.0345,17
730,1.23,210875,0.0355,18
740,1.2515,217962,0.0375,16
750,1.3235,226092,0.035,17
760,1.2825,225574,0.0365,18
770,1.3255,238081,0.0325,18
780,1.347,241565,0.038,19
790,1.321,237091,0.043,19
800,1.4805,248711,0.031,18
810,1.4205,250934,0.0315,18
820,1.454,254864,0.036,18
830,1.5075,264490,0.038,17
840,1.621,279778,0.034,18
850,1.5375,275062,0.033,18
860,1.596,282863,0.0395,18
870,1.631,292173,0.033,18
880,1.646,295368,0.0375,18
890,1.6675,299343,0.04,19
900,1.7,306050,0.0445,20
910,1.76,313038,0.034,19
920,1.8185,326445,0.0425,19
930,1.839,327363,0.0305,18
940,1.8675,336228,0.0375,19
950,2.0285,347899,0.04,18
960,1.9355,345568,0.0395,19
970,2.0055,357475,0.041,19
980,2.0065,355198,0.036,17
990,2.0955,371393,0.04,18
